danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.53,0.77,4,-6.633,0,0.0389,0.284,0.501,0.744,0.623,120.144,225696,False,2,No Regrets,James Reeder,6f2c4a9lNx8aowZJngv7cJ
0.565,0.73,1,-6.063,1,0.073,0.365,0.0,0.237,0.511,130.026,158093,False,2,Wild Life,James Reeder,3fTs52jsDzSuVLsifxNKO8
0.427,0.546,4,-8.727,1,0.0849,0.539,0.0152,0.368,0.435,78.345,167262,False,2,Fangs,James Reeder,6NPafqavrv0icaIHMQnXDy
0.421,0.531,7,-5.516,1,0.0262,0.706,0.000208,0.11,0.383,85.08,236832,False,2,Afterburner,James Reeder,3vGmhxveURgmlZStvo0uc1
0.537,0.804,8,-7.378,0,0.157,0.379,0.000489,0.323,0.543,139.95,239400,False,2,Hellfire Rising,James Reeder,4O2qRbfCHzMMgfbw9DBdGf
0.71,0.621,9,-7.879,0,0.0329,0.405,0.0019,0.103,0.546,125.985,194560,False,2,Hurricane,James Reeder,1Tu9d0uA2ipK3s8EddNfl9
0.419,0.821,11,-5.768,0,0.0431,0.0137,0.00365,0.127,0.343,80.031,195288,False,2,Trapdoor,James Reeder,5IR8f7pzaGn6k7TJ6A7bNk
0.565,0.624,1,-5.718,1,0.0351,0.00442,0.221,0.108,0.655,123.927,211043,False,2,Demon,James Reeder,6iz9ZfQ9YIHRXZMuT6vv3R
0.547,0.56,0,-7.187,1,0.051,0.551,0.179,0.137,0.354,169.878,182184,False,2,Rusty Barracuda,James Reeder,4oUd60VyrDAM26LKxNe3NG
0.533,0.785,5,-5.466,1,0.0481,0.591,0.0,0.162,0.521,89.826,120936,False,2,Night on Fire,James Reeder,4sCYHI5weMJM8STfL0yjUg
0.482,0.369,2,-7.637,0,0.0412,0.75,0.00653,0.105,0.246,74.396,206544,False,2,Kentucky Banshee,James Reeder,3R8geaRy40N54AklO7cAfY
0.589,0.659,2,-7.491,1,0.0516,0.104,0.00919,0.163,0.47,140.172,164208,False,2,The Devil in a Long Black Lincoln,James Reeder,5RKVavCDNqnh89DqiLSmJ3
0.573,0.816,0,-7.263,1,0.0419,0.00347,0.814,0.244,0.608,119.983,74064,False,2,Satania,James Reeder,5EWiFVuAMw0JxWSaaaVUmz
0.441,0.855,0,-5.049,1,0.0602,0.00012,0.00014,0.142,0.201,138.777,188960,False,13,Stupid Girl,Cold,51wsg9dzbJWbq16FVnt3tL
0.46,0.548,5,-8.914,1,0.035,0.185,0.0865,0.223,0.126,138.73,291147,False,5,Stupid Girl - Life So Long Mix,Cold,5DfAEpcoV9jlKAD3z8gf04
0.708,0.499,10,-10.249,1,0.0549,0.00461,0.0873,0.106,0.377,95.986,166520,True,14,Essence,TG,5BoLSxmENQsVzfHz97D0YN
0.67,0.933,11,-6.248,0,0.0674,0.0154,0.236,0.513,0.876,131.984,382933,False,14,Gravity's Rainbow - Soulwax Remix,Klaxons,2X2pntOfT48gNR8viwCDXe
0.888,0.568,1,-11.802,0,0.292,0.0241,0.0,0.134,0.572,140.03,183972,True,14,How You Do It,TG,4SCzzuAGBgUmE1nAlKRYYU
0.564,0.811,10,-6.429,1,0.0371,0.00222,0.0,0.0929,0.574,112.517,271381,False,14,Hoy,Fiel A La Vega,2MIHvCNurgbrxe8xmjOgmd
0.541,0.556,9,-13.506,0,0.0505,0.477,0.413,0.185,0.48,112.138,158571,False,14,Bogeyman,Dan Griffith,2yybKwL3NUKWcdNfMBzgxy
0.892,0.673,9,-5.156,0,0.0497,0.492,0.0,0.0991,0.962,129.975,208000,False,4,Que Se Quede Contigo,Flor De Tabaco,3spwlmVEUxz7fwau8S38NQ
0.86,0.647,7,-4.981,0,0.0472,0.195,0.0,0.0687,0.954,139.954,237160,False,2,Beso A Beso,Flor De Tabaco,1xX9N76FfVv01kKUMzyfu8
0.844,0.676,2,-5.235,1,0.0419,0.379,0.0,0.0806,0.921,135.981,231800,False,3,Le Nacen Alas,Flor De Tabaco,3g61zsCEuzCTl8ZCpbf2sq
0.876,0.647,8,-4.953,1,0.0446,0.222,0.0,0.0777,0.962,138.026,219600,False,4,Todos Los Hombres Son Iguales,Flor De Tabaco,7CllLvmYyDfZzsssg18j28
0.87,0.595,2,-4.995,1,0.0365,0.109,0.0,0.192,0.873,133.981,216187,False,3,Cobarde,Flor De Tabaco,3TpIdkLmWTHcjDSUpfvPA1
0.774,0.604,5,-5.286,1,0.0358,0.122,0.0,0.23,0.903,139.996,238307,False,3,Tu Amor Es Mi Delirio,Flor De Tabaco,0rWNPIpbuEmktWri0lLcSb
0.849,0.604,0,-4.813,1,0.0432,0.364,0.0,0.107,0.947,132.963,231227,False,2,Amame Toda La Noche,Flor De Tabaco,1V05iFHI9mpMyH7x8bFed3
0.828,0.641,1,-4.345,0,0.0388,0.378,0.0,0.108,0.768,124.969,207587,False,2,Coraje,Flor De Tabaco,2l3jWVdoweGzkMmnUaagNs
0.948,0.641,2,-5.707,1,0.048,0.412,0.0,0.311,0.963,132.94,206880,False,2,"Te Amo Tanto, Tanto",Flor De Tabaco,7ACShaAcpRZn0mH5saz7Eh
0.841,0.773,0,-5.975,1,0.0463,0.0936,0.0,0.146,0.969,135.054,202067,False,1,Crazy For Your Love,Flor De Tabaco,2MuLKrfJdfNNReAy6ooe1F
0.653,0.82,5,-5.324,0,0.0849,0.0546,6.14e-05,0.151,0.571,196.003,171307,False,3,Arrepentido,Flor De Tabaco,2rgYVVNREzDSWBjeCQAWav
0.309,0.605,2,-6.122,1,0.0395,0.622,0.0,0.0913,0.268,199.883,246747,False,1,Cobarde - Balada,Flor De Tabaco,0H4YGVs0wleQ1Srj0BIeV6
0.683,0.729,4,-5.989,1,0.0293,0.00236,4.01e-05,0.0742,0.501,121.933,189836,False,11,Reality - MÖWE Radio Edit,Lost Frequencies,1wKsrUrVoI0wg9DBsxZwYR
0.658,0.811,4,-6.523,1,0.0258,0.00229,0.000503,0.109,0.673,122.014,192049,False,5,Reality - Androma Radio Edit,Lost Frequencies,2urjUjNghAKLfqRAzMnDaz
0.699,0.557,1,-8.166,0,0.0619,0.0392,2.52e-05,0.101,0.25,129.98,177509,False,7,Reality - Hitimpulse Remix,Lost Frequencies,6HCKNroWUNCHNRUc9aJe9k
0.752,0.603,10,-8.368,0,0.13,0.0083,0.0,0.243,0.253,127.98,182000,True,14,Inside Of Me,TG,01yKxwsZ36Wi2xo1L3UTnw
0.824,0.593,5,-8.579,0,0.0485,0.0614,0.00103,0.19,0.859,111.97,258316,False,14,Yüce Dag Basinda,Altin Gün,4He9bNEbK9Au82pcbCZumy
0.855,0.488,8,-10.591,1,0.473,0.06,0.0,0.107,0.7,134.667,142272,True,3,Killas Wit Me,Chv TopSoulja,4P75LbUsLoVo4vTGGc5F0T
0.678,0.754,11,-6.043,1,0.284,0.018,0.0,0.16,0.143,145.237,165068,True,3,Petty Ma,Chv TopSoulja,1gi73K175GHsAKBapl2i4D
0.861,0.575,4,-10.465,1,0.342,0.00463,0.0,0.112,0.484,124.036,141819,True,8,See What I See,Chv TopSoulja,48yPGCUoOqzPhSlOCq07q5
0.711,0.719,9,-8.559,0,0.324,0.0272,0.0,0.0597,0.438,133.021,180924,True,2,Free Gizmo,Chv TopSoulja,0DPOGsD9ZvahcORTfaVF2K
0.73,0.561,1,-7.004,1,0.315,0.00154,2.08e-05,0.0952,0.313,135.867,146184,True,2,1-4 Wards,Chv TopSoulja,6M7wrJYiDhPVnfgwtYsgXs
0.706,0.605,7,-10.323,1,0.379,0.195,0.0,0.123,0.391,140.043,169152,True,2,Double R,Chv TopSoulja,7GAa7OFUckt5rIp4BgPf2W
0.708,0.558,1,-8.816,0,0.273,0.133,0.0,0.18,0.162,130.01,137012,True,2,Opp Baby Muva,Chv TopSoulja,3QMIHDQZNXiXg1Np6fpDs0
0.935,0.579,10,-6.812,0,0.413,0.113,0.0,0.123,0.505,124.047,185574,True,2,Drac Bust,Chv TopSoulja,51UuVaaimd0ibXZYgEhTPl
0.792,0.558,8,-7.195,1,0.12,0.0515,4.83e-05,0.155,0.225,129.95,164258,True,1,We On The Wrong Way,Chv TopSoulja,3UPoQyW8ayT7diGFGIZGhU
0.87,0.51,9,-9.125,1,0.314,0.0879,0.0,0.0754,0.559,130.028,162952,True,1,Who We Are,Chv TopSoulja,71Zmfxg2tT6q5DQGNFXjxT
0.815,0.372,9,-14.909,1,0.161,0.785,0.0,0.175,0.592,125.013,124248,True,1,Off The Top,Chv TopSoulja,0gBJgfjI7YAGD13YbuLkHB
0.662,0.547,1,-9.077,1,0.262,0.000665,0.0,0.0568,0.4,118.649,133176,True,1,Solider Flow,Chv TopSoulja,3tfPreRK9759PfF6m91oOD
0.827,0.643,11,-11.035,1,0.443,0.135,1.71e-06,0.356,0.064,139.955,170344,True,0,C4,Chv TopSoulja,45hFZRhwOTOkjdt8EgWHu0
0.79,0.942,7,-10.115,1,0.0406,0.0513,0.902,0.122,0.922,120.057,178000,False,14,J Dance,Dan Griffith,1nw99S1jWc6DROSnLvE7y6
0.286,0.109,7,-14.454,1,0.0319,0.881,2.6e-05,0.174,0.147,101.345,255880,False,8,It's In Everyone Of Us,David Pomeranz,7CPksmsk21SRZz94gwYG7Z
0.736,0.63,2,-8.092,1,0.0266,0.605,0.000379,0.209,0.685,112.267,193080,False,2,Thea,David Pomeranz,0m6Nm8baObuPOG8Qn9Nuu1
0.497,0.341,7,-10.147,1,0.0299,0.848,0.000822,0.0977,0.262,134.221,260640,False,1,Tryin To Get The Feeling Again,David Pomeranz,6acFl68OEmMWHwijwOowwI
0.426,0.537,2,-9.2,1,0.0281,0.621,3.04e-05,0.343,0.407,126.611,287000,False,2,The Hit Song Of All Time,David Pomeranz,7hFhWWFDut7QmRprWiz9Tm
0.501,0.133,0,-17.199,1,0.0286,0.852,0.0,0.603,0.373,105.138,176520,False,2,Flying,David Pomeranz,7EzPIX2Ri63FTHisKYEdI1
0.618,0.457,9,-11.848,1,0.196,0.191,1.6e-05,0.614,0.781,92.313,275253,False,2,Greyhound Mary,David Pomeranz,1Dhlga5tWMTZbKnrXnNGTH
0.485,0.262,4,-12.192,1,0.0286,0.742,0.0104,0.123,0.179,128.629,207653,False,7,If You Walked Away,David Pomeranz,7tC9Sc2WO9APELSA8IxnLw
0.732,0.565,0,-10.573,1,0.0266,0.393,0.00584,0.0451,0.773,106.853,246787,False,2,High Together,David Pomeranz,0kO5S3tY6oIk1cLVZ3bFmv
0.708,0.389,0,-13.768,1,0.118,0.305,3.66e-06,0.0807,0.483,98.698,106627,False,1,Home To Alaska,David Pomeranz,0inIpxWP4hNSxyu541Bp5S
