artist_name,artist_id,genre
James Reeder,5YCUdcLdAbaYZcdZrxNzjU,[]
Cold,0Gw3a3BkWLwsMLFbOBmo6Q,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap rock']"
TG,7qwOsGanRCnWgty6lX05P4,[]
Klaxons,2qlAMLpUyBjZgnzuFXXZXI,"['alternative dance', 'alternative rock', 'dance-punk', 'electronica', 'indie rock', 'modern rock', 'new rave']"
TG,7qwOsGanRCnWgty6lX05P4,[]
Various Artists,0LyfQWJT6nXafLPZqxe9Of,[]
Fiel A La Vega,66wxdAaC0UG5y6I080pwwP,"['puerto rican rock', 'reggae en espanol']"
Dan Griffith,6OqYK2O1Qp24aw7k2Id3Uk,[]
Flor De Tabaco,2xno1jPXudieXG5hnANmlH,[]
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
TG,7qwOsGanRCnWgty6lX05P4,[]
Altin Gün,37PL04N8kBWWW69jdrMMWT,"['dutch indie', 'turkish psych']"
Chv TopSoulja,2I3BLyw3HPP6y24D18RreC,['dmv rap']
Dan Griffith,6OqYK2O1Qp24aw7k2Id3Uk,[]
David Pomeranz,6SuhlH2L1NB53bBscBqAdu,"['opm', 'soft rock']"
Ian Moore,5XZzCqzWFTBV6jgSAOtxTz,[]
Mahavishnu Orchestra,3Ao7NH7lRyQAeKQg2mlTcO,"['art rock', 'instrumental rock', 'jazz fusion', 'progressive rock', 'symphonic rock']"
Blackjesus Yoshua,2Dy3fOAUcKb7G3NdUcQuEG,[]
757babyglock,5vMrhEVHWJBSawMuBjAQRM,[]
Yung Shadøw,2pLDTWXQaRCbuhLSZOeJS9,[]
The Cars,6DCIj8jNaNpBz8e5oKFPtp,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']"
KingJa,1b6El8bvKjzqhdlm4W2wPF,[]
KayFresh,0AR12BdMaoz3cjMX0CTCQY,[]
Noob_Memeus,2IeO0DgXkCMFjpOVl8KaJC,[]
Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,"['latin', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
DXM,5h5SJscpaZsndsRk4Y87bL,[]
